"統計名：","通信利用動向調査 世帯全体編"
"表番号："
"表題：","Ｆ：世帯年収 世帯年収 平成18年以降"
"実施年月：","-","-"

"***","数字が得られないもの"
"******","******"
"**********","**********"
"-","該当数がない場合"

"","","","","","","/世帯年収_2 コード","100","120","130","140","150","160","170","190","200","210"
"表章項目 コード","表章項目","時間軸(年次) コード","時間軸(年次)","世帯年収_1 コード","世帯年収_1","/世帯年収_2","合計","200～400万円未満","200万円未満","400～600万円未満","600～800万円未満","800～1000万円未満","1000～1500万円未満","1500～2000万円未満","2000万円以上","不明"
"00100","回答数割合【%】","2016000000","2016年","100","合計","","***","29.8","13.6","20.4","13.9","9.3","7.1","1.7","1.0","3.1"
"00100","回答数割合【%】","2016000000","2016年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2016000000","2016年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2016000000","2016年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2016000000","2016年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2016000000","2016年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2016000000","2016年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2016000000","2016年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2016000000","2016年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
"00100","回答数割合【%】","2015000000","2015年","100","合計","","***","28.0","11.9","22.8","16.4","8.7","6.9","1.6","0.7","***"
"00100","回答数割合【%】","2015000000","2015年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","***"
"00100","回答数割合【%】","2015000000","2015年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","***"
"00100","回答数割合【%】","2015000000","2015年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","***"
"00100","回答数割合【%】","2015000000","2015年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","***"
"00100","回答数割合【%】","2015000000","2015年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","***"
"00100","回答数割合【%】","2015000000","2015年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","***"
"00100","回答数割合【%】","2015000000","2015年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","***"
"00100","回答数割合【%】","2015000000","2015年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","***"
"00100","回答数割合【%】","2014000000","2014年","100","合計","","***","28.9","13.6","21.3","15.2","8.6","6.1","1.3","1.0","4.0"
"00100","回答数割合【%】","2014000000","2014年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2014000000","2014年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2014000000","2014年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2014000000","2014年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2014000000","2014年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2014000000","2014年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2014000000","2014年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2014000000","2014年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
"00100","回答数割合【%】","2014000000","2014年","210","不明","","***","-","-","-","-","-","-","-","-","100.0"
"00100","回答数割合【%】","2013000000","2013年","100","合計","","***","26.6","10.9","22.0","16.4","9.6","6.3","1.8","0.8","5.6"
"00100","回答数割合【%】","2013000000","2013年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2013000000","2013年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2013000000","2013年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2013000000","2013年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2013000000","2013年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2013000000","2013年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2013000000","2013年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2013000000","2013年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
"00100","回答数割合【%】","2013000000","2013年","210","不明","","***","-","-","-","-","-","-","-","-","100.0"
"00100","回答数割合【%】","2012000000","2012年","100","合計","","***","29.3","13.4","22.2","14.6","7.9","5.8","1.6","0.8","4.3"
"00100","回答数割合【%】","2012000000","2012年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2012000000","2012年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2012000000","2012年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2012000000","2012年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2012000000","2012年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2012000000","2012年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2012000000","2012年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2012000000","2012年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
"00100","回答数割合【%】","2012000000","2012年","210","不明","","***","-","-","-","-","-","-","-","-","100.0"
"00100","回答数割合【%】","2010000000","2010年","100","合計","","***","26.4","11.1","22.0","16.6","9.4","6.7","1.7","1.2","4.9"
"00100","回答数割合【%】","2010000000","2010年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2010000000","2010年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2010000000","2010年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2010000000","2010年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2010000000","2010年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2010000000","2010年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2010000000","2010年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2010000000","2010年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
"00100","回答数割合【%】","2010000000","2010年","210","不明","","***","-","-","-","-","-","-","-","-","100.0"
"00100","回答数割合【%】","2009000000","2009年","100","合計","","***","24.8","8.3","21.9","18.5","12.1","8.2","2.0","1.4","2.7"
"00100","回答数割合【%】","2009000000","2009年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2009000000","2009年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2009000000","2009年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2009000000","2009年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2009000000","2009年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2009000000","2009年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2009000000","2009年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2009000000","2009年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
"00100","回答数割合【%】","2009000000","2009年","210","不明","","***","-","-","-","-","-","-","-","-","100.0"
"00100","回答数割合【%】","2008000000","2008年","100","合計","","***","21.0","8.4","22.0","20.2","12.3","10.3","2.1","1.3","2.3"
"00100","回答数割合【%】","2008000000","2008年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2008000000","2008年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2008000000","2008年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2008000000","2008年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2008000000","2008年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2008000000","2008年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2008000000","2008年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2008000000","2008年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
"00100","回答数割合【%】","2008000000","2008年","210","不明","","***","-","-","-","-","-","-","-","-","100.0"
"00100","回答数割合【%】","2007000000","2007年","100","合計","","***","20.6","7.1","22.4","20.8","11.6","10.3","2.4","2.8","1.9"
"00100","回答数割合【%】","2007000000","2007年","120","200万円未満","","***","-","100.0","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2007000000","2007年","130","200～400万円未満","","***","100.0","-","-","-","-","-","-","-","-"
"00100","回答数割合【%】","2007000000","2007年","140","400～600万円未満","","***","-","-","100.0","-","-","-","-","-","-"
"00100","回答数割合【%】","2007000000","2007年","150","600～800万円未満","","***","-","-","-","100.0","-","-","-","-","-"
"00100","回答数割合【%】","2007000000","2007年","160","800～1,000万円未満","","***","-","-","-","-","100.0","-","-","-","-"
"00100","回答数割合【%】","2007000000","2007年","170","1,000～1,500万円未満","","***","-","-","-","-","-","100.0","-","-","-"
"00100","回答数割合【%】","2007000000","2007年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","100.0","-","-"
"00100","回答数割合【%】","2007000000","2007年","200","2,000万円以上","","***","-","-","-","-","-","-","-","100.0","-"
