都道府県,1981年,1982年,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年
北海道,0,0,2851.2,3352.7,3253.4,3945.5,3870.2,3618.9,4133.3,4297.6,5228,4274.1,4298.9,4484.4,4506.9,5213.4,5298.7,5036.6,5317.1,5366.7,5091.8,5355,5002.5,5407.3,5159.4,5057.2,5178.7,5026.4,4589.3,5193.9,4869.4,4878.7,4565.9,4595.1,4661.5
青森県,0,0,2955.7,3999.2,2495.1,3142.7,2705.5,2934.9,3436.3,4207.4,4233.7,3598.6,3781.3,4210.6,4469.8,4723.2,4769.1,5260.3,5021.5,5246.1,5316.4,4921.4,5467.9,5076.5,5267.6,5072.5,5869.1,5720.6,4203.3,4885.2,5126.1,4290.1,4007.4,4056.9,4246.4
岩手県,0,0,3250,3710.1,3787.9,3278,3024.1,3809.5,4295.8,4574.6,4273.6,3618.5,4355.8,4486.8,3917.2,4759,4853.9,4020.3,4620.4,4937.1,5004.7,4635.5,4601.6,4465.6,4563.7,4299.1,4179.3,4558.4,4931.7,4531.6,4918.1,4892.2,4217.2,4506.7,5262.8
宮城県,0,0,3665,3224,3722,4440.2,2921.2,4101.8,4239.2,4313.1,4920.8,4502.4,4518.5,4917.3,5181.2,4774.8,4434.6,5274.9,5782.6,6011.6,5477,5494.6,5935.4,6022.5,5401.4,4766.9,5104,6083.2,4815.1,4366.3,6318.8,5101.7,4464.1,5336.3,5373.1
秋田県,0,0,3311.9,3078.9,3076.4,4474.5,3216.8,3548.2,3762.2,3784.6,5278.1,4679.3,3323.5,4362.6,4719.6,4047.4,4502,4722.2,5071,5488.2,4464.2,4331,5733.4,5658.8,4982.2,5459,4964.7,5455.4,5273.5,4772.7,4285.9,5536.1,3991.1,4446.2,4228
山形県,0,0,2361.7,3622.2,3093.5,3485.7,3770.9,3791.9,3308.2,3744.6,4696.3,3911.7,3773.8,4035.2,3937.7,4224.6,4756.4,4235.3,4634.1,4397.9,4461.2,3891.2,3854.1,3974,4156.9,4677.3,4869.9,4537.9,3778.3,4883.9,4297.8,4278.5,4395.5,4183.6,5088.1
福島県,0,0,3689,4134.6,3621.8,3421.5,4143.4,4202.8,3812.6,4291.7,4172.4,4055.9,4292.3,4389.5,4173.6,4199.1,4621.4,4805.2,4134.5,4253.7,4884,5307.6,5744.9,4630.1,4290.7,5106.6,4558.3,5078.6,4683.6,4253,5304.5,4395.1,4473.2,4288.5,4392.6
茨城県,0,0,3610.8,3554.4,4017,4154.9,4269.3,4396.3,4493.7,4651.1,4547,5252.8,5438.3,5861.9,5217.4,5597.5,4433.1,4842.9,4877.9,4018.5,4633.4,4908.8,5084.8,5082.8,5510.8,4616.6,4636.2,5454.1,5015,5761,5418.3,4925.4,4921.2,5050.7,5121.7
栃木県,0,0,3623.7,3930.7,4039.7,3665.5,4251.5,3555.9,4229.9,4945.6,4723.3,5089.2,4634.9,4944.2,4939.1,5212.9,5473.6,5205.4,4939.6,5600.7,5911.7,5192.8,5170.5,4995,4876,5781.3,4146.1,4599.8,6751.5,5359.2,4887,4647.5,5056,5474,5152.4
群馬県,0,0,2708.5,3344.2,4070.4,3958,3941,4513.2,4064.4,4694.7,4940.4,4729.9,3944.2,4227.2,4127.1,4434.6,4196.3,4708.6,5946.9,4892.4,5145.8,4952.6,4967.6,5185.8,5148.8,5710.3,6322.2,5034.1,5670.2,4711.8,6257.3,5189.3,5104.4,4970.8,4782.7
